timestamp	episode	reward	steps	end_reason	route	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-04-25T23:58:11	0	-2254.009174	461	arrived	ego_route_40	0	4	0	0	0
2026-04-25T23:58:14	1	137.518160	315	arrived	ego_route_12	0	11	0	0	0
2026-04-25T23:58:17	2	-1636.418568	509	arrived	ego_route_25	0	21	0	0	0
2026-04-25T23:58:24	3	-4155.010369	953	arrived	ego_route_42	0	58	0	0	0
2026-04-25T23:58:28	4	14.029953	390	arrived	ego_route_19	0	63	0	0	0
2026-04-25T23:58:30	5	14.834920	244	arrived	ego_route_38	0	66	0	0	0
2026-04-25T23:58:35	6	-1294.854179	441	arrived	ego_route_6	0	71	0	0	0
2026-04-25T23:58:38	7	-542.273813	282	arrived	ego_route_36	0	73	0	0	0
2026-04-25T23:58:44	8	-1631.326324	719	arrived	ego_route_8	0	102	0	0	0
2026-04-25T23:58:47	9	78.990900	246	arrived	ego_route_27	0	105	0	0	0
2026-04-25T23:58:52	10	-1505.097774	479	arrived	ego_route_37	0	111	0	0	0
2026-04-25T23:58:54	11	-121.530043	240	arrived	ego_route_27	0	115	0	0	0
2026-04-25T23:58:56	12	-346.343240	215	arrived	ego_route_32	0	120	0	0	0
2026-04-25T23:58:58	13	70.096296	161	arrived	ego_route_22	0	120	0	0	0
2026-04-25T23:58:59	14	202.444760	164	arrived	ego_route_27	0	120	0	0	0
2026-04-25T23:59:03	15	-1898.964899	348	arrived	ego_route_28	0	122	0	0	0
2026-04-25T23:59:05	16	115.835500	227	arrived	ego_route_23	0	125	0	0	0
2026-04-25T23:59:06	17	118.156360	89	arrived	ego_route_24	0	125	0	0	0
2026-04-25T23:59:08	18	105.168700	87	arrived	ego_route_24	0	125	0	0	0
2026-04-25T23:59:09	19	-228.866210	100	arrived	ego_route_17	0	125	0	0	0
2026-04-25T23:59:13	20	-401.131116	436	arrived	ego_route_34	0	129	0	0	0
2026-04-25T23:59:15	21	-106.130124	152	arrived	ego_route_22	0	129	0	0	0
2026-04-25T23:59:18	22	-144.403740	314	arrived	ego_route_12	0	136	0	0	0
2026-04-25T23:59:23	23	-1188.766725	509	arrived	ego_route_44	0	143	0	0	0
2026-04-25T23:59:27	24	-340.886094	438	arrived	ego_route_34	0	146	0	0	0
2026-04-25T23:59:29	25	44.359306	209	arrived	ego_route_33	0	149	0	0	0
2026-04-25T23:59:30	26	103.057860	81	arrived	ego_route_24	0	149	0	0	0
2026-04-25T23:59:32	27	101.375080	82	arrived	ego_route_16	0	155	0	0	0
2026-04-25T23:59:36	28	-567.326620	474	arrived	ego_route_6	0	161	0	0	0
2026-04-25T23:59:39	29	25.286560	276	arrived	ego_route_3	0	167	0	0	0
2026-04-25T23:59:41	30	6.286052	179	arrived	ego_route_36	0	167	0	0	0
2026-04-25T23:59:43	31	27.051480	115	arrived	ego_route_46	0	167	0	0	0
2026-04-25T23:59:46	32	-1593.531340	361	arrived	ego_route_32	0	173	0	0	0
2026-04-25T23:59:49	33	69.106555	364	arrived	ego_route_26	0	177	0	0	0
2026-04-25T23:59:51	34	169.701680	153	arrived	ego_route_22	0	177	0	0	0
2026-04-25T23:59:54	35	-62.166125	265	arrived	ego_route_14	0	181	0	0	0
2026-04-25T23:59:58	36	-770.495480	405	arrived	ego_route_41	0	185	0	0	0
2026-04-26T00:00:01	37	-72.579720	313	arrived	ego_route_23	0	192	0	0	0
2026-04-26T00:00:06	38	-91.081556	528	arrived	ego_route_42	0	197	0	0	0
2026-04-26T00:00:08	39	195.090587	158	arrived	ego_route_9	0	197	0	0	0
2026-04-26T00:00:11	40	-262.326380	367	arrived	ego_route_29	0	202	0	0	0
2026-04-26T00:00:14	41	304.507220	319	arrived	ego_route_4	0	206	0	0	0
2026-04-26T00:00:16	42	106.390000	176	arrived	ego_route_11	0	206	0	0	0
2026-04-26T00:00:18	43	186.700000	139	arrived	ego_route_11	0	208	0	0	0
2026-04-26T00:00:22	44	-1174.355395	370	arrived	ego_route_32	0	212	0	0	0
2026-04-26T00:00:28	45	-423.698234	426	arrived	ego_route_1	0	214	0	0	0
2026-04-26T00:00:30	46	70.963249	123	arrived	ego_route_46	0	214	0	0	0
2026-04-26T00:00:32	47	142.014485	104	arrived	ego_route_24	0	214	0	0	0
2026-04-26T00:00:36	48	371.205225	375	arrived	ego_route_20	0	216	0	0	0
2026-04-26T00:00:40	49	358.528630	328	arrived	ego_route_15	0	220	0	0	0
2026-04-26T00:00:43	50	208.184550	289	arrived	ego_route_9	0	222	0	0	0
2026-04-26T00:00:48	51	-366.491416	438	arrived	ego_route_34	0	226	0	0	0
2026-04-26T00:00:52	52	-1648.468741	374	arrived	ego_route_40	0	232	0	0	0
2026-04-26T00:00:54	53	280.924790	192	arrived	ego_route_9	0	234	0	0	0
2026-04-26T00:00:58	54	444.176360	433	arrived	ego_route_33	0	241	0	0	0
2026-04-26T00:01:03	55	451.035994	524	arrived	ego_route_4	0	247	0	0	0
2026-04-26T00:01:10	56	-565.288100	729	arrived	ego_route_44	0	261	0	0	0
2026-04-26T00:01:14	57	338.786140	455	arrived	ego_route_34	0	269	0	0	0
2026-04-26T00:01:19	58	754.128394	588	arrived	ego_route_19	0	276	0	0	0
2026-04-26T00:01:24	59	-77.551015	467	arrived	ego_route_45	0	281	0	0	0
2026-04-26T00:01:28	60	272.207420	396	arrived	ego_route_45	0	287	0	0	0
2026-04-26T00:01:33	61	508.124540	600	arrived	ego_route_14	0	294	0	0	0
2026-04-26T00:01:39	62	444.551040	657	arrived	ego_route_6	0	303	0	0	0
2026-04-26T00:01:44	63	265.958118	434	arrived	ego_route_27	0	309	0	0	0
2026-04-26T00:01:48	64	522.516401	469	arrived	ego_route_34	0	315	0	0	0
2026-04-26T00:01:56	65	168.659968	784	arrived	ego_route_4	0	354	0	0	0
2026-04-26T00:02:00	66	-81.158644	362	arrived	ego_route_32	0	360	0	0	0
2026-04-26T00:02:05	67	-723.964320	525	arrived	ego_route_33	0	371	0	0	0
2026-04-26T00:02:08	68	-761.143358	318	arrived	ego_route_40	0	376	0	0	0
2026-04-26T00:02:10	69	303.797164	245	arrived	ego_route_46	0	378	0	0	0
2026-04-26T00:02:16	70	-166.019248	614	arrived	ego_route_44	0	385	0	0	0
2026-04-26T00:02:21	71	581.080580	530	arrived	ego_route_6	0	393	0	0	0
2026-04-26T00:02:24	72	347.927768	230	arrived	ego_route_10	0	396	0	0	0
2026-04-26T00:02:26	73	-283.035540	254	arrived	ego_route_11	0	402	0	0	0
2026-04-26T00:02:33	74	1253.621190	750	arrived	ego_route_20	0	436	0	0	0
2026-04-26T00:02:41	75	89.421452	725	arrived	ego_route_41	0	472	0	0	0
2026-04-26T00:02:44	76	368.105519	288	arrived	ego_route_24	0	475	0	0	0
2026-04-26T00:02:48	77	444.073560	480	arrived	ego_route_33	0	483	0	0	0
2026-04-26T00:02:55	78	69.056160	711	arrived	ego_route_29	0	498	0	0	0
2026-04-26T00:02:58	79	548.682613	359	arrived	ego_route_15	0	502	0	0	0
2026-04-26T00:03:06	80	1114.771744	839	arrived	ego_route_20	0	538	0	0	0
2026-04-26T00:03:15	81	1737.855700	923	arrived	ego_route_20	0	574	0	0	0
2026-04-26T00:03:24	82	1388.543565	852	arrived	ego_route_19	0	604	0	0	0
2026-04-26T00:03:31	83	-68.836460	725	arrived	ego_route_25	0	641	0	0	0
2026-04-26T00:03:36	84	830.472120	568	arrived	ego_route_3	0	646	0	0	0
2026-04-26T00:03:43	85	1244.054220	723	arrived	ego_route_4	0	679	0	0	0
2026-04-26T00:03:49	86	1045.840367	605	arrived	ego_route_27	0	689	0	0	0
2026-04-26T00:03:51	87	-200.952140	234	arrived	ego_route_24	0	691	0	0	0
2026-04-26T00:04:02	88	1300.358740	1068	arrived	ego_route_42	0	712	0	0	0
2026-04-26T00:04:15	89	-128.328096	1329	arrived	ego_route_7	0	741	0	0	0
2026-04-26T00:04:23	90	1371.954738	814	arrived	ego_route_2	0	775	0	0	0
2026-04-26T00:04:25	91	497.048480	275	arrived	ego_route_9	0	777	0	0	0
2026-04-26T00:04:33	92	840.167080	792	arrived	ego_route_41	0	816	0	0	0
2026-04-26T00:04:41	93	996.917000	772	arrived	ego_route_2	0	850	0	0	0
2026-04-26T00:04:48	94	400.239900	657	arrived	ego_route_45	0	865	0	0	0
2026-04-26T00:04:52	95	217.570000	460	arrived	ego_route_10	0	871	0	0	0
2026-04-26T00:04:55	96	444.120000	244	arrived	ego_route_17	0	874	0	0	0
2026-04-26T00:05:03	97	322.270433	826	arrived	ego_route_44	0	911	0	0	0
2026-04-26T00:05:06	98	388.150000	225	arrived	ego_route_17	0	914	0	0	0
2026-04-26T00:05:11	99	471.420000	496	arrived	ego_route_40	0	921	0	0	0
2026-04-26T00:05:18	100	1474.953600	800	arrived	ego_route_27	0	960	0	0	0
2026-04-26T00:05:22	101	548.900918	321	arrived	ego_route_22	0	963	0	0	0
2026-04-26T00:05:26	102	423.561660	422	arrived	ego_route_36	0	967	0	0	0
2026-04-26T00:05:28	103	298.692540	193	arrived	ego_route_16	0	972	0	0	0
2026-04-26T00:05:31	104	450.402580	304	arrived	ego_route_45	0	974	0	0	0
2026-04-26T00:05:35	105	-152.710100	438	arrived	ego_route_45	0	976	0	0	0
2026-04-26T00:05:40	106	-31.422595	521	arrived	ego_route_45	0	986	0	0	0
2026-04-26T00:05:48	107	1147.292430	955	arrived	ego_route_42	0	1001	0	0	0
2026-04-26T00:05:54	108	21.404340	659	arrived	ego_route_14	0	1006	0	0	0
2026-04-26T00:05:58	109	760.261680	394	arrived	ego_route_40	0	1010	0	0	0
2026-04-26T00:06:06	110	1182.410911	861	arrived	ego_route_5	0	1041	0	0	0
