timestamp	episode	reward	steps	end_reason	route	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-05-02T22:10:49	0	-54.542360	560	arrived	ego_route_13	0	11	0	0	0
2026-05-02T22:10:54	1	-383.186802	967	arrived	ego_route_42	0	51	0	0	0
2026-05-02T22:10:59	2	-109.316153	707	arrived	ego_route_44	0	73	0	0	0
2026-05-02T22:11:03	3	-150.084146	473	arrived	ego_route_36	0	79	0	0	0
2026-05-02T22:11:07	4	-11.593098	497	arrived	ego_route_26	0	85	0	0	0
2026-05-02T22:11:11	5	-364.063450	443	arrived	ego_route_28	0	91	0	0	0
2026-05-02T22:11:13	6	32.194137	349	arrived	ego_route_25	0	94	0	0	0
2026-05-02T22:11:16	7	124.544147	354	arrived	ego_route_5	0	98	0	0	0
2026-05-02T22:11:20	8	-57.887873	362	arrived	ego_route_26	0	103	0	0	0
2026-05-02T22:11:24	9	-247.118152	451	arrived	ego_route_32	0	108	0	0	0
2026-05-02T22:11:27	10	76.148246	314	arrived	ego_route_12	0	112	0	0	0
2026-05-02T22:11:28	11	32.250000	93	arrived	ego_route_17	0	112	0	0	0
2026-05-02T22:11:31	12	65.600630	318	arrived	ego_route_15	0	116	0	0	0
2026-05-02T22:11:34	13	138.252269	394	arrived	ego_route_18	0	118	0	0	0
2026-05-02T22:11:38	14	4.930073	471	arrived	ego_route_18	0	128	0	0	0
2026-05-02T22:11:42	15	-238.174577	366	arrived	ego_route_40	0	132	0	0	0
2026-05-02T22:11:44	16	113.601610	318	arrived	ego_route_2	0	139	0	0	0
2026-05-02T22:11:47	17	157.074790	350	arrived	ego_route_26	0	143	0	0	0
2026-05-02T22:11:49	18	96.811741	164	arrived	ego_route_36	0	143	0	0	0
2026-05-02T22:11:51	19	-32.285922	323	arrived	ego_route_45	0	145	0	0	0
2026-05-02T22:11:53	20	49.366478	184	ego_crash	ego_route_4	1	146	1	0	0
2026-05-02T22:11:57	21	-78.635981	439	arrived	ego_route_34	1	150	1	0	0
2026-05-02T22:11:59	22	-2.688413	175	arrived	ego_route_10	1	150	1	0	0
2026-05-02T22:12:02	23	-87.788014	392	arrived	ego_route_41	1	155	1	0	0
2026-05-02T22:12:06	24	-202.793608	521	arrived	ego_route_7	1	161	1	0	0
2026-05-02T22:12:08	25	104.240023	234	arrived	ego_route_27	1	167	1	0	0
2026-05-02T22:12:10	26	20.540000	101	arrived	ego_route_11	1	167	1	0	0
2026-05-02T22:12:11	27	80.891060	97	arrived	ego_route_16	1	169	1	0	0
2026-05-02T22:12:13	28	173.356820	243	arrived	ego_route_13	1	171	1	0	0
2026-05-02T22:12:15	29	64.550000	168	arrived	ego_route_10	1	171	1	0	0
2026-05-02T22:12:17	30	87.104747	216	arrived	ego_route_33	1	173	1	0	0
2026-05-02T22:12:21	31	26.287767	526	arrived	ego_route_7	1	179	1	0	0
2026-05-02T22:12:23	32	113.290623	160	arrived	ego_route_22	1	179	1	0	0
2026-05-02T22:12:25	33	148.347460	238	arrived	ego_route_15	1	183	1	0	0
2026-05-02T22:12:27	34	126.764680	166	arrived	ego_route_36	1	185	1	0	0
2026-05-02T22:12:31	35	-183.828125	571	arrived	ego_route_6	1	189	1	0	0
2026-05-02T22:12:33	36	105.847700	234	arrived	ego_route_1	1	193	1	0	0
2026-05-02T22:12:36	37	123.076480	274	arrived	ego_route_14	1	199	1	0	0
2026-05-02T22:12:39	38	-9.779033	440	arrived	ego_route_34	1	205	1	0	0
2026-05-02T22:12:42	39	92.713188	323	arrived	ego_route_2	1	211	1	0	0
2026-05-02T22:12:43	40	-10.590000	80	arrived	ego_route_17	1	211	1	0	0
2026-05-02T22:12:45	41	168.064493	239	arrived	ego_route_38	1	213	1	0	0
2026-05-02T22:12:48	42	117.450243	263	arrived	ego_route_19	1	215	1	0	0
