timestamp	episode	reward	steps	end_reason	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-03-30T14:56:15	0	-679.131840	582	arrived	0	3	0	0	0
2026-03-30T14:56:22	1	-1429.905343	831	arrived	0	13	0	0	0
2026-03-30T14:56:27	2	-737.257731	515	arrived	0	16	0	0	0
2026-03-30T14:56:33	3	-10.118940	524	arrived	0	19	0	0	0
2026-03-30T14:56:44	4	-1670.948640	942	arrived	0	25	0	0	0
2026-03-30T14:56:52	5	-2381.469517	691	arrived	0	30	0	0	0
2026-03-30T14:56:59	6	-1037.055606	565	arrived	0	34	0	0	0
2026-03-30T14:57:07	7	-1212.683191	698	arrived	0	39	0	0	0
2026-03-30T14:57:10	8	122.656000	229	arrived	0	40	0	0	0
2026-03-30T14:57:14	9	-443.075767	363	arrived	0	43	0	0	0
2026-03-30T14:57:19	10	-1426.401458	462	arrived	0	46	0	0	0
2026-03-30T14:57:27	11	-2246.333442	682	arrived	0	48	0	0	0
2026-03-30T14:57:33	12	-1184.155516	542	arrived	0	50	0	0	0
2026-03-30T14:57:35	13	-36.501100	185	ego_crash	1	51	1	1	0
2026-03-30T14:57:40	14	-436.787909	373	arrived	1	52	1	1	0
2026-03-30T14:57:43	15	-72.321580	318	arrived	1	53	1	1	0
2026-03-30T14:57:47	16	-2.533180	320	arrived	1	56	1	1	0
2026-03-30T14:57:49	17	114.658860	234	arrived	1	57	1	1	0
2026-03-30T14:57:54	18	-159.829414	440	arrived	1	58	1	1	0
2026-03-30T14:57:57	19	111.572576	242	arrived	1	60	1	1	0
2026-03-30T14:58:07	20	-1401.849620	694	arrived	1	64	1	1	0
2026-03-30T14:58:10	21	0.039175	295	arrived	1	65	1	1	0
2026-03-30T14:58:13	22	113.133880	245	arrived	1	66	1	1	0
2026-03-30T14:58:19	23	-889.234447	523	arrived	1	69	1	1	0
2026-03-30T14:58:24	24	-784.392114	452	arrived	1	74	1	1	0
2026-03-30T14:58:30	25	-854.214501	538	arrived	1	77	1	1	0
2026-03-30T14:58:33	26	102.526900	256	arrived	1	78	1	1	0
2026-03-30T14:58:39	27	-1204.778077	524	arrived	1	82	1	1	0
2026-03-30T14:58:43	28	46.578777	291	arrived	1	83	1	1	0
2026-03-30T14:58:48	29	-60.594300	504	arrived	1	86	1	1	0
2026-03-30T14:58:53	30	-188.050774	440	arrived	1	88	1	1	0
2026-03-30T14:58:56	31	106.834560	254	arrived	1	90	1	1	0
2026-03-30T14:58:59	32	136.065500	229	arrived	1	91	1	1	0
2026-03-30T14:59:05	33	-634.002221	523	arrived	1	93	1	1	0
2026-03-30T14:59:09	34	-72.865983	276	arrived	1	94	1	1	0
2026-03-30T14:59:12	35	34.866480	292	arrived	1	95	1	1	0
2026-03-30T14:59:15	36	-140.324488	279	arrived	1	96	1	1	0
2026-03-30T14:59:22	37	-698.016910	593	arrived	1	101	1	1	0
2026-03-30T14:59:26	38	-111.268411	281	arrived	1	102	1	1	0
2026-03-30T14:59:29	39	118.341400	227	arrived	1	103	1	1	0
2026-03-30T14:59:37	40	-1440.966572	697	arrived	1	110	1	1	0
2026-03-30T14:59:40	41	142.683760	230	arrived	1	111	1	1	0
2026-03-30T14:59:43	42	-135.564252	277	arrived	1	112	1	1	0
2026-03-30T14:59:50	43	-326.194971	544	arrived	1	115	1	1	0
2026-03-30T14:59:53	44	74.463000	324	arrived	1	118	1	1	0
2026-03-30T14:59:56	45	126.757540	256	arrived	1	121	1	1	0
2026-03-30T14:59:59	46	129.749760	226	arrived	1	123	1	1	0
2026-03-30T15:00:02	47	120.926860	224	arrived	1	124	1	1	0
2026-03-30T15:00:07	48	-96.961890	439	arrived	1	126	1	1	0
2026-03-30T15:00:09	49	146.475740	181	arrived	1	126	1	1	0
2026-03-30T15:00:12	50	143.107205	231	arrived	1	127	1	1	0
2026-03-30T15:00:14	51	151.275440	221	arrived	1	128	1	1	0
2026-03-30T15:00:21	52	-611.414100	596	arrived	1	131	1	1	0
2026-03-30T15:00:27	53	-277.822185	515	arrived	1	134	1	1	0
2026-03-30T15:00:30	54	146.284620	225	arrived	1	135	1	1	0
2026-03-30T15:00:33	55	-63.247233	285	arrived	1	137	1	1	0
2026-03-30T15:00:36	56	151.166360	230	arrived	1	138	1	1	0
2026-03-30T15:00:39	57	146.722040	228	arrived	1	140	1	1	0
2026-03-30T15:00:42	58	145.887420	226	arrived	1	142	1	1	0
2026-03-30T15:00:44	59	131.395940	224	arrived	1	143	1	1	0
2026-03-30T15:00:49	60	115.968020	438	arrived	1	145	1	1	0
2026-03-30T15:00:55	61	-16.654588	434	arrived	1	148	1	1	0
2026-03-30T15:01:00	62	74.442572	436	arrived	1	151	1	1	0
2026-03-30T15:01:03	63	170.014039	171	arrived	1	151	1	1	0
2026-03-30T15:01:09	64	-57.497144	539	arrived	1	154	1	1	0
2026-03-30T15:01:12	65	161.788900	233	arrived	1	155	1	1	0
2026-03-30T15:01:15	66	99.628860	240	arrived	1	156	1	1	0
2026-03-30T15:01:18	67	87.772386	251	arrived	1	158	1	1	0
2026-03-30T15:01:21	68	111.109020	220	arrived	1	159	1	1	0
2026-03-30T15:01:23	69	152.401220	222	arrived	1	160	1	1	0
2026-03-30T15:01:26	70	154.985540	223	arrived	1	161	1	1	0
2026-03-30T15:01:31	71	153.063385	459	arrived	1	165	1	1	0
2026-03-30T15:01:35	72	133.843980	285	arrived	1	166	1	1	0
2026-03-30T15:01:37	73	157.435680	219	arrived	1	167	1	1	0
2026-03-30T15:01:44	74	-318.684650	600	arrived	1	171	1	1	0
2026-03-30T15:01:47	75	162.197553	225	arrived	1	172	1	1	0
2026-03-30T15:01:52	76	140.374424	434	arrived	1	174	1	1	0
2026-03-30T15:01:55	77	130.746340	230	arrived	1	175	1	1	0
2026-03-30T15:02:01	78	79.551840	439	arrived	1	178	1	1	0
2026-03-30T15:02:07	79	121.637800	440	arrived	1	181	1	1	0
2026-03-30T15:02:10	80	129.550827	240	arrived	1	182	1	1	0
2026-03-30T15:02:13	81	150.316560	223	arrived	1	183	1	1	0
2026-03-30T15:02:21	82	-6.699350	619	arrived	1	188	1	1	0
2026-03-30T15:02:24	83	154.018640	241	arrived	1	190	1	1	0
2026-03-30T15:02:27	84	146.945260	241	arrived	1	191	1	1	0
