timestamp	episode	reward	steps	end_reason	route	TOTAL_EGO_CRASHES	TOTAL_COLLISION_EVENTS	TOTAL_EGO_COLLISIONS	TOTAL_EGO_TELEPORTS	TOTAL_EGO_EMERGENCY_STOPS
2026-05-02T18:51:17	1	-1554.794980	932	arrived	None	0	20	0	0	0
2026-05-02T18:51:21	2	-1499.874844	725	arrived	None	0	50	0	0	0
2026-05-02T18:51:23	3	-616.848900	485	arrived	None	0	58	0	0	0
2026-05-02T18:51:27	4	-1455.541955	762	arrived	None	0	95	0	0	0
2026-05-02T18:51:28	5	-365.271615	276	arrived	None	0	101	0	0	0
2026-05-02T18:51:30	6	64.850900	423	arrived	None	0	105	0	0	0
2026-05-02T18:51:32	7	-67.943910	133	arrived	None	0	105	0	0	0
2026-05-02T18:51:36	8	-3228.684361	897	arrived	None	0	135	0	0	0
2026-05-02T18:51:38	9	-2653.411827	460	arrived	None	0	142	0	0	0
2026-05-02T18:51:41	10	-1613.447758	702	arrived	None	0	152	0	0	0
2026-05-02T18:51:44	11	-643.253517	622	arrived	None	0	160	0	0	0
2026-05-02T18:51:46	12	-494.819100	278	ego_crash	None	1	163	1	0	0
2026-05-02T18:51:48	13	-1664.798513	507	arrived	None	1	170	1	0	0
2026-05-02T18:51:51	14	-1127.408500	475	arrived	None	1	180	1	0	0
2026-05-02T18:51:55	15	-2079.765040	940	arrived	None	1	196	1	0	0
2026-05-02T18:51:57	16	-924.747731	522	arrived	None	1	200	1	0	0
2026-05-02T18:51:59	17	-152.940100	423	arrived	None	1	202	1	0	0
2026-05-02T18:52:04	18	-3473.516317	973	arrived	None	1	241	1	0	0
2026-05-02T18:52:08	19	-1974.881956	877	arrived	None	1	271	1	0	0
2026-05-02T18:52:10	20	-638.269100	475	arrived	None	1	278	1	0	0
2026-05-02T18:52:13	21	-678.397644	576	arrived	None	1	285	1	0	0
2026-05-02T18:52:15	22	-86.920315	463	arrived	None	1	292	1	0	0
2026-05-02T18:52:18	23	-1570.516320	779	arrived	None	1	325	1	0	0
2026-05-02T18:52:21	24	-1409.175806	487	arrived	None	1	331	1	0	0
2026-05-02T18:52:24	25	-2012.013100	555	arrived	None	1	337	1	0	0
2026-05-02T18:52:26	26	27.871351	427	arrived	None	1	340	1	0	0
2026-05-02T18:52:27	27	165.752654	156	arrived	None	1	340	1	0	0
2026-05-02T18:52:29	28	-465.318012	478	arrived	None	1	349	1	0	0
2026-05-02T18:52:33	29	-910.341100	746	arrived	None	1	391	1	0	0
2026-05-02T18:52:35	30	-280.601100	583	arrived	None	1	403	1	0	0
2026-05-02T18:52:37	31	263.920000	195	arrived	None	1	405	1	0	0
2026-05-02T18:52:39	32	-593.160100	525	arrived	None	1	415	1	0	0
2026-05-02T18:52:42	33	-1100.682680	490	arrived	None	1	427	1	0	0
2026-05-02T18:52:45	34	-2232.941100	745	arrived	None	1	458	1	0	0
2026-05-02T18:52:47	35	-720.287201	365	arrived	None	1	464	1	0	0
2026-05-02T18:52:49	36	-285.428345	422	arrived	None	1	466	1	0	0
2026-05-02T18:52:52	37	-213.134790	474	arrived	None	1	478	1	0	0
2026-05-02T18:52:55	38	-1049.565040	822	arrived	None	1	509	1	0	0
2026-05-02T18:53:00	39	-3712.316100	1077	arrived	None	1	527	1	0	0
2026-05-02T18:53:03	40	-772.290884	637	arrived	None	1	535	1	0	0
2026-05-02T18:53:08	41	-3534.022317	1258	arrived	None	1	567	1	0	0
2026-05-02T18:53:10	42	89.267462	127	arrived	None	1	569	1	0	0
2026-05-02T18:53:11	43	-699.631598	269	arrived	None	1	572	1	0	0
2026-05-02T18:53:17	44	-3789.270558	1305	arrived	None	1	619	1	0	0
2026-05-02T18:53:18	45	-144.684788	153	arrived	None	1	619	1	0	0
2026-05-02T18:53:21	46	-245.509300	501	arrived	None	1	628	1	0	0
2026-05-02T18:53:22	47	-113.908928	131	arrived	None	1	628	1	0	0
2026-05-02T18:53:24	48	-375.410408	450	arrived	None	1	632	1	0	0
2026-05-02T18:53:29	49	-4473.766100	1173	arrived	None	1	661	1	0	0
2026-05-02T18:53:32	50	-1082.785205	635	arrived	None	1	667	1	0	0
2026-05-02T18:53:38	51	-2964.489213	1220	arrived	None	1	707	1	0	0
2026-05-02T18:53:40	52	149.774147	515	arrived	None	1	719	1	0	0
2026-05-02T18:53:42	53	-344.152370	448	arrived	None	1	726	1	0	0
2026-05-02T18:53:46	54	-518.699306	712	arrived	None	1	758	1	0	0
